,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
56,advn_norm_ema,ant,0.1,1.0,1e-05,0.1,0.38034682988824753,-25.391771067702813
57,advn_norm_ema,ant,0.1,1.0,0.0001,1e-05,0.09613214738637416,-43.17680020332337
58,advn_norm_ema,ant,0.1,1.0,0.0001,0.0001,0.09457681931609699,-43.274126473739194
59,advn_norm_ema,ant,0.1,1.0,0.0001,0.001,0.10815727844457845,-42.42431512990211
60,advn_norm_ema,ant,0.1,1.0,0.0001,0.01,0.1097092177835655,-42.32720091286859
61,advn_norm_ema,ant,0.1,1.0,0.0001,0.1,0.0672744481195914,-44.98260072611418
62,advn_norm_ema,ant,0.1,10.0,1e-05,1e-05,0.43057296001848155,-22.248818775891518
63,advn_norm_ema,ant,0.1,10.0,1e-05,0.0001,0.5097596973633365,-17.29362638950348
64,advn_norm_ema,ant,0.1,10.0,1e-05,0.001,0.4904377613672979,-18.502716615318526
65,advn_norm_ema,ant,0.1,10.0,1e-05,0.01,0.4633038780437997,-20.200647563934325
66,advn_norm_ema,ant,0.1,10.0,1e-05,0.1,0.36312170917569486,-26.469650897979736
67,advn_norm_ema,ant,0.1,10.0,0.0001,1e-05,0.086263967528816,-43.794311813692254
68,advn_norm_ema,ant,0.1,10.0,0.0001,0.0001,0.08012004319914,-44.1787742638671
69,advn_norm_ema,ant,0.1,10.0,0.0001,0.001,0.11935243825606473,-41.7237663698151
70,advn_norm_ema,ant,0.1,10.0,0.0001,0.01,0.09854159660992483,-43.02602641407212
71,advn_norm_ema,ant,0.1,10.0,0.0001,0.1,0.06136704064543201,-45.352262888248305
72,advn_norm_ema,ant,0.3,0.001,1e-05,1e-05,0.4696421660766573,-19.804022603034973
73,advn_norm_ema,ant,0.3,0.001,1e-05,0.0001,0.6584907524695418,-7.986626043319702
74,advn_norm_ema,ant,0.3,0.001,1e-05,0.001,0.6677823697765284,-7.405193433761597
75,advn_norm_ema,ant,0.3,0.001,1e-05,0.01,0.6174962666796895,-10.551898596286774
